timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,position_size_pct,kelly_multiplier
2025-05-19 01:00:00,BUY,105059.97,0.022129528095205367,2324.927557796433,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16477.966795545948,BUY,0.7260492379835873,1.0
2025-05-19 02:00:00,BUY,104645.15,0.006086432826473946,636.91567609129,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16416.368685094385,BUY,0.7260492379835873,1.0
2025-05-19 03:00:00,BUY,103605.88,0.0016841084193812894,174.48353480540754,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16255.718306155073,BUY,0.7260492379835873,1.0
2025-05-19 05:00:00,SELL,103032.01,0.11345545244864946,11689.543311243775,Trend Reversal,16166.043009920992,SELL,,1.0
2025-05-19 06:00:00,SELL,102208.0,0.031081207653224394,3176.748071820759,Trend Reversal,16130.76823160229,SELL,,1.0
2025-05-19 07:00:00,SELL,103226.29,0.008514720520991179,878.9430097687865,Trend Reversal,16142.710196837872,SELL,,1.0
2025-05-19 08:00:00,SELL,103233.9,0.0023326141750823195,240.80485848903066,Trend Reversal,16142.734645859982,SELL,,1.0
2025-05-19 09:00:00,BUY,103061.61,0.09568508558603052,9861.4589734841,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16142.583007380736,BUY,0.6143493552168817,1.0
2025-05-19 10:00:00,SELL,102915.5,0.059324781075057294,6105.439506730059,Trend Reversal,16128.47386298387,SELL,,1.0
2025-05-19 11:00:00,SELL,102963.41,0.02287864007321318,2355.6627981006786,Trend Reversal,16130.258052446428,SELL,,1.0
2025-05-19 12:00:00,SELL,102479.95,0.00882316229599555,904.1972309355091,Trend Reversal,16123.314696833862,SELL,,1.0
2025-05-19 13:00:00,BUY,103294.11,0.09251876745767369,9556.643742837367,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16127.82403374416,BUY,0.6143493552168817,1.0
2025-05-19 14:00:00,BUY,104328.11,0.02846347435911995,2969.5404839204457,Markov Aggressive: UP-NEUTRAL→FLAT-NEUTRAL (75%),16229.215390220577,BUY,0.495,1.0
