timestamp,signal,price,btc_amount,usd_amount,reason,regime,risk_mode,portfolio_value
2025-05-21 18:00:00,BUY,106965.05,0.030600681524530923,3273.2034293055267,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17324.749151221204
2025-05-21 19:00:00,BUY,108603.79,0.018083365760838698,1963.922057583316,Markov CONSERVATIVE: UP-NEUTRAL→FLAT-NEUTRAL (75%),SIDEWAYS,CONSERVATIVE,17514.950206074747
2025-05-21 20:00:00,BUY,108238.09,0.010886678012795584,1178.3532345499896,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17465.891993229005
2025-05-21 21:00:00,BUY,108414.64,0.006521369629876496,707.0119407299936,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17491.49800527213
2025-05-21 22:00:00,BUY,108739.36,0.0039011372187402623,424.20716443799614,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17540.71154189579
2025-05-21 23:00:00,BUY,109643.99,0.0023213702699326944,254.52429866279763,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17681.34349054251
2025-05-22 00:00:00,BUY,109954.53,0.0013888884723319594,152.7145791976786,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17730.34028867064
2025-05-22 01:00:00,BUY,109920.68,0.0008335897077657012,91.62874751860716,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17724.95244393143
2025-05-22 02:00:00,BUY,110471.51,0.0004976599714366563,54.977248511164284,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17813.08624878232
2025-05-22 03:00:00,SELL,111780.84,0.06419979368803985,7176.306866275792,Markov Exit CONSERVATIVE: UP-OVERBOUGHT→FLAT-OVERBOUGHT (73%),SIDEWAYS,CONSERVATIVE,18023.23303845623
2025-05-22 04:00:00,SELL,111482.42,0.03851987621282391,4294.289018306044,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17994.49528480765
2025-05-22 05:00:00,BUY,110879.99,0.041677715726159734,4621.224702939434,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17959.686991267314
2025-05-22 06:00:00,BUY,110606.07,0.025068559273136275,2772.73482176366,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17932.44358463728
2025-05-22 07:00:00,BUY,111045.45,0.014981621426705874,1663.6408930581958,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17987.157857762053
2025-05-22 08:00:00,BUY,110409.09,0.00904078220221648,998.1845358349176,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17898.380730952213
2025-05-22 09:00:00,BUY,110821.3,0.005404292509661505,598.9107215009506,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17959.613905230086
2025-05-22 10:00:00,BUY,110805.22,0.0032430460667879214,359.34643290057033,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17957.138344439936
2025-05-22 11:00:00,BUY,110981.97,0.0019427287129642967,215.60785974034218,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17984.922707661786
2025-05-22 12:00:00,BUY,111608.69,0.0011590917861701027,129.36471584420528,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,18084.65802613344
2025-05-22 13:00:00,BUY,110914.49,0.0006998078385116605,77.61882950652318,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17973.379396099044
2025-05-22 14:00:00,BUY,110897.9,0.0004199475166248766,46.5712977039139,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17970.70844823994
2025-05-26 07:00:00,SELL,110094.62,0.06456696295126985,7108.4752506741315,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17841.0450732412
2025-05-26 08:00:00,BUY,109666.4,0.026182430342310874,2871.332878892001,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17799.57177592871
2025-05-26 09:00:00,BUY,109712.56,0.015702848674164566,1722.7997273352005,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17805.25097342806
2025-05-26 10:00:00,BUY,109643.56,0.00942763839847156,1033.6798364011204,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17795.678208510464
2025-05-26 11:00:00,BUY,109772.72,0.0056499274304278166,620.2079018406722,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17814.81498832596
2025-05-26 12:00:00,BUY,109826.92,0.0033882835019356213,372.1247411044033,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17823.151668604514
2025-05-26 13:00:00,BUY,109595.65,0.002037260098029821,223.27484466264195,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17786.795660869022
